0,System Bundle,org.apache.felix.framework,5.6.10
1,Apache Geronimo JSR-330 Spec API,org.apache.geronimo.specs.geronimo-atinject_1.0_spec,1.0
2,jcl-over-slf4j,jcl.over.slf4j,1.7.25
3,log4j-over-slf4j,log4j.over.slf4j,1.7.25
4,Apache Aries Util,org.apache.aries.util,1.1.3
110,Apache Sling Commons FileSystem ClassLoader,org.apache.sling.commons.fsclassloader,1.0.8,sling
111,Apache Sling MIME type mapping support,org.apache.sling.commons.mime,2.1.10,sling
112,Apache Sling Commons OSGi support,org.apache.sling.commons.osgi,2.4.0,sling
113,Apache Sling Scheduler Support,org.apache.sling.commons.scheduler,2.7.2,sling
114,Apache Sling Thread Support,org.apache.sling.commons.threads,3.2.16,sling
115,Apache Sling Discovery API,org.apache.sling.discovery.api,1.0.4,sling
116,Apache Sling Discovery Base,org.apache.sling.discovery.base,2.0.8,sling
117,Apache Sling Discovery Commons,org.apache.sling.discovery.commons,1.0.20,sling
118,Apache Sling Oak-Based Discovery Service,org.apache.sling.discovery.oak,1.2.22,sling
119,Apache Sling Discovery Support Bundle,org.apache.sling.discovery.support,1.0.4,sling
120,Apache Sling Engine Implementation,org.apache.sling.engine,2.6.12,sling
121,Apache Sling Event Support,org.apache.sling.event,4.2.10,sling
122,Apache Sling Distributed Event Admin,org.apache.sling.event.dea,1.1.2,sling
123,Apache Sling File System Resource Provider,org.apache.sling.fsresource,2.1.10,sling
124,Apache Sling Health Check API,org.apache.sling.hc.api,1.0.2,sling
125,Apache Sling Health Check Core,org.apache.sling.hc.core,1.2.10,sling
126,Apache Sling Health Check Webconsole Plugin,org.apache.sling.hc.webconsole,1.1.2,sling
127,Apache Sling I18N Support,org.apache.sling.i18n,2.5.12,sling
128,Apache Sling Installer WebConsole Plugin,org.apache.sling.installer.console,1.0.2,sling
129,Apache Sling Installer Health Checks,org.apache.sling.installer.hc,1.0.0,sling
130,Apache Sling JCR Installer,org.apache.sling.installer.provider.jcr,3.1.26,sling
131,Apache Sling Initial Content Loader,org.apache.sling.jcr.contentloader,2.2.4,'sling,jcr,jackrabbit'
132,Apache Sling JCR RepoInit module,org.apache.sling.jcr.repoinit,1.1.6,sling
133,Apache Sling JCR Resource Resolver,org.apache.sling.jcr.resource,3.0.10,sling
134,Apache Sling Models API,org.apache.sling.models.api,1.3.6,sling
135,Apache Sling Models Implementation,org.apache.sling.models.impl,1.4.6,sling
136,Apache Sling Models Model Exporter - Jackson,org.apache.sling.models.jacksonexporter,1.0.8,sling
137,Apache Sling Provisioning Model,org.apache.sling.provisioning.model,1.8.4,sling
138,Apache Sling RepoInit Parser,org.apache.sling.repoinit.parser,1.2.0,sling
139,Apache Sling Resource Resolver,org.apache.sling.resourceresolver,1.6.0,sling
140,Apache Sling Sample Slingshot,org.apache.sling.sample.slingshot,0.8.1.SNAPSHOT,sling
141,Apache Sling Scripting Implementation API,org.apache.sling.scripting.api,2.2.0,sling
142,Apache Sling Scripting Core implementation,org.apache.sling.scripting.core,2.0.54,sling
143,Apache Sling Wrapper Bundle for Apache Tomcat EL API,org.apache.sling.scripting.el-api,1.0.0,sling
144,Apache Sling Scripting JavaScript Support,org.apache.sling.scripting.javascript,3.0.4,sling
145,Apache Sling Scripting JSP Support,org.apache.sling.scripting.jsp,2.3.4,sling
146,Apache Sling Wrapper Bundle for Apache Tomcat JSP API,org.apache.sling.scripting.jsp-api,1.0.0,sling
147,Apache Sling JSP Tag Library,org.apache.sling.scripting.jsp.taglib,2.2.6,sling
148,Apache Sling Scripting HTL Engine,org.apache.sling.scripting.sightly,1.0.46,sling
149,Apache Sling Scripting HTL Compiler,org.apache.sling.scripting.sightly.compiler,1.0.16,sling
150,Apache Sling Scripting HTL Java Compiler,org.apache.sling.scripting.sightly.compiler.java,1.0.18,sling
151,Apache Sling Scripting HTL JavaScript Use Provider,org.apache.sling.scripting.sightly.js.provider,1.0.26,sling
152,Apache Sling Scripting HTL Sling Models Use Provider,org.apache.sling.scripting.sightly.models.provider,1.0.6,sling
153,Apache Sling Scripting HTL Read-Eval-Print Loop Environment,org.apache.sling.scripting.sightly.repl,1.0.4,sling
154,Apache Sling Service User Web Console,org.apache.sling.serviceuser.webconsole,1.0.0,sling
155,Apache Sling Service User Mapper,org.apache.sling.serviceusermapper,1.4.0,sling
156,Apache Sling Default GET Servlets,org.apache.sling.servlets.get,2.1.30,sling
157,Apache Sling Default POST Servlets,org.apache.sling.servlets.post,2.3.24,sling
158,Apache Sling Servlet Resolver,org.apache.sling.servlets.resolver,2.4.22,sling
159,Apache Sling Validation Framework API,org.apache.sling.validation.api,1.0.0,sling
160,Apache Sling Validation Framework Core Implementation,org.apache.sling.validation.core,1.0.4,sling
161,Apache Sling XSS Protection,org.apache.sling.xss,2.0.4,sling
162,Apache Sling Tooling Support Source,org.apache.sling.tooling.support.source,1.0.4,sling
163,Apache Sling Tooling Support Install,org.apache.sling.tooling.support.install,1.0.4,sling
